hf_repo_id,model_revision,evaluation_id,repeat,seed,status,fries_score,overall_confidence,FAIRNESS_O,FAIRNESS_S,FAIRNESS_D,FAIRNESS_Ti,FAIRNESS_confidence,ROBUSTNESS_O,ROBUSTNESS_S,ROBUSTNESS_D,ROBUSTNESS_Ti,ROBUSTNESS_confidence,INTEGRITY_O,INTEGRITY_S,INTEGRITY_D,INTEGRITY_Ti,INTEGRITY_confidence,EXPLAINABILITY_O,EXPLAINABILITY_S,EXPLAINABILITY_D,EXPLAINABILITY_Ti,EXPLAINABILITY_confidence,SAFETY_O,SAFETY_S,SAFETY_D,SAFETY_Ti,SAFETY_confidence,fairness_skip_reason,robustness_skip_reason,fairness_dp_diff,fairness_eo_diff,robustness_clean_acc,robustness_robust_acc,robustness_attack_success_rate,wall_s,db_duration_s,trustlens_version,created_at
distilbert-base-uncased-finetuned-sst-2-english,714eb0fa89d2f80546fda750413ed43d93601a13,12582eb1-e161-4ea0-b0c1-f9ba552cd70c,seed-42,42,FINALIZED,6.1681,0.8676,7,7,8,7.3186,0.983,9,6,6,6.8683,1.0,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,,0.1392,0.304,0.9688,0.625,0.3438,35.31,0.02,0.20.1,2026-08-13T02:23:33+00:00
distilbert-base-uncased-finetuned-sst-2-english,714eb0fa89d2f80546fda750413ed43d93601a13,9cdd6400-6a6c-439a-a89d-9b155d7653a3,seed-1337,1337,FINALIZED,6.5948,0.8676,8,8,8,8.0,0.983,9,8,8,8.3203,1.0,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,,0.2032,0.1944,0.9844,0.7656,0.2188,10.15,0.03,0.20.1,2026-08-13T02:24:09+00:00
distilbert-base-uncased-finetuned-sst-2-english,714eb0fa89d2f80546fda750413ed43d93601a13,bbe8eebb-2ca7-4f7a-8d53-de8765fc13c2,seed-2025,2025,FINALIZED,6.3168,0.8676,7,7,8,7.3186,0.983,9,7,7,7.6117,1.0,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,,0.0089,0.2709,0.9844,0.6719,0.3125,10.15,0.02,0.20.1,2026-08-13T02:24:19+00:00
google/vit-base-patch16-224,3f49326eb077187dfe1c2a2bb15fbd74e6ab91e3,f02ad8df-0b7a-4eca-ae85-f149bd1efadb,seed-42,42,FINALIZED,5.5213,0.7805,7,7,8,7.3186,0.983,4,4,3,3.6342,0.5646,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,model is not text-classification / sentiment,0.1392,0.304,,,,5.09,0.03,0.20.1,2026-08-13T02:28:40+00:00
google/vit-base-patch16-224,3f49326eb077187dfe1c2a2bb15fbd74e6ab91e3,e3606b23-61db-400f-b2c0-a55f543d9963,seed-1337,1337,FINALIZED,5.6575,0.7805,8,8,8,8.0,0.983,4,4,3,3.6342,0.5646,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,model is not text-classification / sentiment,0.2032,0.1944,,,,5.08,0.02,0.20.1,2026-08-13T02:28:44+00:00
google/vit-base-patch16-224,3f49326eb077187dfe1c2a2bb15fbd74e6ab91e3,0164acc3-1925-4c24-b371-49ab136e3d21,seed-2025,2025,FINALIZED,5.5213,0.7805,7,7,8,7.3186,0.983,4,4,3,3.6342,0.5646,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,model is not text-classification / sentiment,0.0089,0.2709,,,,5.09,0.02,0.20.1,2026-08-13T02:28:51+00:00
philschmid/tiny-bert-sst2-distilled,874eb28543ea7a7df80b6158bbf772d203efcab6,baff7bf1-f640-4781-8f42-8d5bb05fc8c4,det-check,42,FINALIZED,6.3168,0.8676,7,7,8,7.3186,0.983,9,7,7,7.6117,1.0,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,,0.1392,0.304,0.9531,0.6562,0.3125,5.17,0.06,0.20.1,2026-08-13T02:22:18+00:00
philschmid/tiny-bert-sst2-distilled,874eb28543ea7a7df80b6158bbf772d203efcab6,a097ccb4-0f94-4d4d-b336-a032962fdf87,seed-42,42,FINALIZED,6.3168,0.8676,7,7,8,7.3186,0.983,9,7,7,7.6117,1.0,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,,0.1392,0.304,0.9531,0.6562,0.3125,35.68,0.69,0.20.1,2026-08-13T02:21:42+00:00
philschmid/tiny-bert-sst2-distilled,874eb28543ea7a7df80b6158bbf772d203efcab6,bcd4c1f0-df6b-4e63-93ff-b908927b3a38,seed-1337,1337,FINALIZED,6.5948,0.8676,8,8,8,8.0,0.983,9,8,8,8.3203,1.0,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,,0.2032,0.1944,0.9844,0.7812,0.2031,5.11,0.02,0.20.1,2026-08-13T02:24:30+00:00
philschmid/tiny-bert-sst2-distilled,874eb28543ea7a7df80b6158bbf772d203efcab6,a6249c8f-dfe0-4a46-809b-6a953b51c2f6,seed-2025,2025,FINALIZED,6.3168,0.8676,7,7,8,7.3186,0.983,9,7,7,7.6117,1.0,9,9,8,8.6535,1.0,6,6,6,6.0,0.7958,2,2,2,2.0,0.5593,,,0.0089,0.2709,0.9844,0.7344,0.25,6.0,0.02,0.20.1,2026-08-13T02:24:35+00:00
